state_name,state_fips,post_code,lat,long
Alabama,1,AL,32.739632300000004,-86.8434593
Alaska,2,AK,63.347356000000005,-152.8397334
Arizona,4,AZ,34.2039355,-111.60635649999999
Arkansas,5,AR,34.8955256,-92.4446262
California,6,CA,37.1551773,-119.5434183
Colorado,8,CO,38.9938482,-105.5083165
Connecticut,9,CT,41.579863700000004,-72.7466572
Delaware,10,DE,38.998566100000005,-75.441644
District of Columbia,11,DC,38.904247399999996,-77.0165167
Florida,12,FL,28.457430199999997,-82.4091477
Georgia,13,GA,32.6295789,-83.42351090000001
Hawaii,15,HI,19.5977643,-155.5024434
Idaho,16,ID,44.3484222,-114.5588538
Illinois,17,IL,40.102875399999995,-89.1526108
Indiana,18,IN,39.9013136,-86.29191290000001
Iowa,19,IA,42.07002429999999,-93.4933473
Kansas,20,KS,38.498546399999995,-98.3834298
Kentucky,21,KY,37.5336844,-85.2929801
Louisiana,22,LA,30.863436800000002,-91.79871729999999
Maine,23,ME,45.409284299999996,-68.666616
Maryland,24,MD,38.9466584,-76.6744939
Massachusetts,25,MA,42.1565196,-71.4895915
Michigan,26,MI,44.8441768,-85.6604907
Minnesota,27,MN,46.3159573,-94.19960429999999
Mississippi,28,MS,32.686471399999995,-89.6561377
Missouri,29,MO,38.35075,-92.45678259999998
Montana,30,MT,47.051177100000004,-109.63481740000002
Nebraska,31,NE,41.54330529999999,-99.81186459999999
Nevada,32,NV,39.33109279999999,-116.6151469
New Hampshire,33,NH,43.672690700000004,-71.5843145
New Jersey,34,NJ,40.1072744,-74.6652012
New Mexico,35,NM,34.4346843,-106.13161809999998
New York,36,NY,42.9133974,-75.5962723
North Carolina,37,NC,35.53971,-79.1308636
North Dakota,38,ND,47.442174,-100.4608258
Ohio,39,OH,40.4149297,-82.7119975
Oklahoma,40,OK,35.590051200000005,-97.48681490000001
Oregon,41,OR,43.9717125,-120.6229578
Pennsylvania,42,PA,40.904601299999996,-77.8275298
Rhode Island,44,RI,41.597418700000006,-71.52727229999999
South Carolina,45,SC,33.8741776,-80.8542639
South Dakota,46,SD,44.4467957,-100.2381762
Tennessee,47,TN,35.860803000000004,-86.3499896
Texas,48,TX,31.4347032,-99.2818238
Utah,49,UT,39.3349925,-111.65633259999998
Vermont,50,VT,44.0685773,-72.66918390000001
Virginia,51,VA,37.52225120000001,-78.6681938
Washington,53,WA,47.40732379999999,-120.5757999
West Virginia,54,WV,38.6472854,-80.61832740000001
Wisconsin,55,WI,44.6309071,-89.7093916
Wyoming,56,WY,42.989659100000004,-107.5443922
American Samoa,60,AS,,
Federated States of Micronesia,64,FM,,
Guam,66,GU,13.4417451,144.7719021
Marshall Islands,68,MH,,
Commonwealth of the Northern Mariana Islands,69,MP,14.936783499999999,145.601021
Palau,70,PW,,
Puerto Rico,72,PR,18.217648,-66.41079920000001
U.S. Minor Outlying Islands,74,UM,,
U.S. Virgin Islands,78,VI,,
